#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Xanthomonas axonopodis Xac29-1","Xac29-1",19487,SAMN02603863 ,PRJNA193074,"Proteobacteria","Gammaproteobacteria",GCA_000348585.1 ,5.29652,64.7171,chromosome:NC_020800.1/CP004399.1; plasmid pXAC33:NC_020801.1/CP004402.1; plasmid pXAC47:NC_020798.1/CP004401.1; plasmid pXAC64:NC_020797.1/CP004400.1,-,4,4808,4389,2013/03/22,2017/06/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/348/585/GCF_000348585.1_ASM34858v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/348/585/GCA_000348585.1_ASM34858v1
"Shigella flexneri 2a str. 301","301",19668,SAMN02603599 ,PRJNA310,"Proteobacteria","Gammaproteobacteria",GCA_000006925.2 ,4.82882,50.6659,chromosome:NC_004337.2/AE005674.2; plasmid pCP301:NC_004851.1/AF386526.1,-,2,4788,4313,2002/10/16,2016/08/24,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/925/GCF_000006925.2_ASM692v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/925/GCA_000006925.2_ASM692v2
"Haemophilus somnus 2336","2336",19701,SAMN02598524 ,PRJNA388,"Proteobacteria","Gammaproteobacteria",GCA_000019405.1 ,2.26386,37.4,chromosome:NC_010519.1/CP000947.1,-,1,2114,1984,2008/02/26,2017/03/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/405/GCF_000019405.1_ASM1940v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/405/GCA_000019405.1_ASM1940v1
"Pseudomonas syringae pv. syringae B728a","B728a",19543,SAMN02604347 ,PRJNA323,"Proteobacteria","Gammaproteobacteria",GCA_000012245.1 ,6.0937,59.2,chromosome:NC_007005.1/CP000075.1,-,1,5220,5089,2005/05/12,2016/08/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/245/GCF_000012245.1_ASM1224v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/245/GCA_000012245.1_ASM1224v1
"Pseudomonas aeruginosa PAO1","PAO1",19537,SAMN02603714 ,PRJNA331,"Proteobacteria","Gammaproteobacteria",GCA_000006765.1 ,6.2644,66.6,chromosome:NC_002516.2/AE004091.2,-,1,5697,5572,2000/05/16,2016/08/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1
"Vibrio vulnificus","CECT 4999",19626,SAMN04457466 ,PRJNA312018,"Proteobacteria","Gammaproteobacteria",GCA_002215135.1 ,5.16313,46.5303,chromosome I:NZ_CP014636.1/CP014636.1; chromosome II:NZ_CP014637.1/CP014637.1; plasmid pR99:NZ_CP014638.1/CP014638.1,-,3,4878,4516,2017/07/06,2017/10/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/135/GCF_002215135.1_ASM221513v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1
"Acinetobacter baumannii","AB030",19507,SAMN02940899 ,PRJNA256157,"Proteobacteria","Gammaproteobacteria",GCA_000746645.1 ,4.33579,39,chromosome:NZ_CP009257.1/CP009257.1,-,1,4296,3953,2014/08/29,2017/03/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/645/GCF_000746645.1_ASM74664v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/645/GCA_000746645.1_ASM74664v1
"Anaplasma marginale str. Florida","Florida",19940,SAMN02604306 ,PRJNA16369,"Proteobacteria","Alphaproteobacteria",GCA_000020305.1 ,1.20243,49.8,chromosome:NC_012026.1/CP001079.1,-,1,1038,959,2009/02/03,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/305/GCF_000020305.1_ASM2030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/305/GCA_000020305.1_ASM2030v1
"Shigella dysenteriae Sd197","Sd197",19668,SAMN02603600 ,PRJNA13145,"Proteobacteria","Gammaproteobacteria",GCA_000012005.1 ,4.56091,50.921,chromosome:NC_007606.1/CP000034.1; plasmid pSD197_spA:NC_009344.1/CP000640.1; plasmid pSD1_197:NC_007607.1/CP000035.1,-,3,4834,4294,2005/11/09,2016/08/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/005/GCF_000012005.1_ASM1200v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/005/GCA_000012005.1_ASM1200v1
"Legionella pneumophila subsp. pneumophila str. Philadelphia 1","Philadelphia 1",19355,SAMN02603156 ,PRJNA22,"Proteobacteria","Gammaproteobacteria",GCA_000008485.1 ,3.39775,38.3,chromosome:NC_002942.5/AE017354.1,-,1,3003,2943,2001/10/15,2017/01/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/485/GCF_000008485.1_ASM848v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/485/GCA_000008485.1_ASM848v1
"Shigella sonnei Ss046","Ss046",19668,SAMN02603602 ,PRJNA13151,"Proteobacteria","Gammaproteobacteria",GCA_000092525.1 ,5.05532,50.7587,chromosome:NC_007384.1/CP000038.1; plasmid pSS046_spA:NC_009345.1/CP000641.1; plasmid pSS046_spB:NC_009346.1/CP000642.1; plasmid pSS046_spC:NC_009347.1/CP000643.1; plasmid pSS_046:NC_007385.1/CP000039.1,-,5,5601,4587,2005/08/29,2017/08/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/525/GCF_000092525.1_ASM9252v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/525/GCA_000092525.1_ASM9252v1
"Wolbachia endosymbiont strain TRS of Brugia malayi","",19931,SAMN02603678 ,PRJNA12475,"Proteobacteria","Alphaproteobacteria",GCA_000008385.1 ,1.08008,34.2,chromosome:NC_006833.1/AE017321.1,-,1,1047,839,2005/02/02,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/385/GCF_000008385.1_ASM838v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/385/GCA_000008385.1_ASM838v1
"Shewanella baltica OS678","OS678",19610,SAMN00016780 ,PRJNA47019,"Proteobacteria","Gammaproteobacteria",GCA_000178875.2 ,5.36877,46.276,chromosome:NC_016901.1/CP002383.1; plasmid pSBAL67801:NC_016905.1/CP002384.1,-,2,4729,4502,2010/12/21,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/875/GCF_000178875.2_ASM17887v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/875/GCA_000178875.2_ASM17887v2
"Shewanella putrefaciens CN-32","CN-32",19611,SAMN00623063 ,PRJNA13393,"Proteobacteria","Gammaproteobacteria",GCA_000016585.1 ,4.65922,44.5,chromosome:NC_009438.1/CP000681.1,-,1,4188,3981,2007/04/20,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/585/GCF_000016585.1_ASM1658v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/585/GCA_000016585.1_ASM1658v1
"Ehrlichia ruminantium str. Welgevonden","Welgevonden",19935,SAMEA1705918 ,PRJNA9614,"Proteobacteria","Alphaproteobacteria",GCA_000026005.1 ,1.51635,27.5,chromosome:NC_005295.2/CR767821.1,-,1,995,934,2003/12/10,2017/10/21,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/005/GCF_000026005.1_ASM2600v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/005/GCA_000026005.1_ASM2600v1
"Burkholderia cenocepacia J2315","J2315",19463,SAMEA1705928 ,PRJNA339,"Proteobacteria","Betaproteobacteria",GCA_000009485.1 ,8.05578,66.9165,chromosome 1:NC_011000.1/AM747720.1; chromosome 2:NC_011001.1/AM747721.1; chromosome 3:NC_011002.1/AM747722.1; plasmid pBCJ2315:NC_011003.1/AM747723.1,-,4,7645,7355,2008/06/19,2017/05/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/485/GCF_000009485.1_ASM948v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/485/GCA_000009485.1_ASM948v1
"Burkholderia pseudomallei K96243","K96243",19460,SAMEA1705938 ,PRJNA178,"Proteobacteria","Betaproteobacteria",GCA_000011545.1 ,7.24755,68.0502,chromosome 1:NC_006350.1/BX571965.1; chromosome 2:NC_006351.1/BX571966.1,-,2,5935,5726,2004/09/16,2016/08/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/545/GCF_000011545.1_ASM1154v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/545/GCA_000011545.1_ASM1154v1
"Burkholderia mallei ATCC 23344","ATCC 23344",19460,SAMN02603987 ,PRJNA171,"Proteobacteria","Betaproteobacteria",GCA_000011705.1 ,5.83553,68.5188,chromosome 1:NC_006348.1/CP000010.1; chromosome 2:NC_006349.2/CP000011.2,-,2,5506,5022,2004/09/22,2016/08/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/705/GCF_000011705.1_ASM1170v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/705/GCA_000011705.1_ASM1170v1
"Ehrlichia chaffeensis str. Arkansas","Arkansas",19936,SAMN02604010 ,PRJNA325,"Proteobacteria","Alphaproteobacteria",GCA_000013145.1 ,1.17625,30.1,chromosome:NC_007799.1/CP000236.1,-,1,952,892,2006/02/21,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/145/GCF_000013145.1_ASM1314v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/145/GCA_000013145.1_ASM1314v1
"Nitrosococcus oceani ATCC 19707","ATCC 19707",19730,SAMN02598329 ,PRJNA13993,"Proteobacteria","Gammaproteobacteria",GCA_000012805.1 ,3.52211,50.3241,chromosome:NC_007484.1/CP000127.1; plasmid A:NC_007483.1/CP000126.1,-,2,3348,3166,2005/10/04,2017/04/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/805/GCF_000012805.1_ASM1280v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/805/GCA_000012805.1_ASM1280v1
"Ralstonia solanacearum GMI1000","GMI1000",19472,SAMEA3138192 ,PRJNA13,"Proteobacteria","Betaproteobacteria",GCA_000009125.1 ,5.81092,66.964,chromosome:NC_003295.1/AL646052.1; plasmid pGMI1000MP:NC_003296.1/AL646053.1,-,2,5208,4984,2001/12/07,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/125/GCF_000009125.1_ASM912v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/125/GCA_000009125.1_ASM912v1
"Candidatus Pelagibacter ubique HTCC1062","HTCC1062",19748,SAMN02603690 ,PRJNA13989,"Proteobacteria","Alphaproteobacteria",GCA_000012345.1 ,1.30876,29.7,chromosome:NC_007205.1/CP000084.1,-,1,1396,1337,2005/07/22,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/345/GCF_000012345.1_ASM1234v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/345/GCA_000012345.1_ASM1234v1
"Shigella boydii Sb227","Sb227",19668,SAMN02603601 ,PRJNA13146,"Proteobacteria","Gammaproteobacteria",GCA_000012025.1 ,4.64652,51.0964,chromosome:NC_007613.1/CP000036.1; plasmid pSB4_227:NC_007608.1/CP000037.1,-,2,5074,4167,2005/11/09,2017/08/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/025/GCF_000012025.1_ASM1202v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/025/GCA_000012025.1_ASM1202v1
"Vibrio cholerae O1 biovar El Tor str. N16961","N16961",19639,SAMN02603969 ,PRJNA36,"Proteobacteria","Gammaproteobacteria",GCA_000006745.1 ,4.03346,47.4873,chromosome I:NC_002505.1/AE003852.1; chromosome II:NC_002506.1/AE003853.1,-,2,3693,3504,2000/06/14,2016/08/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/745/GCF_000006745.1_ASM674v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/745/GCA_000006745.1_ASM674v1
"Rhodopseudomonas palustris HaA2","HaA2",19880,SAMN02598335 ,PRJNA15747,"Proteobacteria","Alphaproteobacteria",GCA_000013365.1 ,5.33166,66,chromosome:NC_007778.1/CP000250.1,-,1,4785,4673,2006/02/06,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/365/GCF_000013365.1_ASM1336v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/365/GCA_000013365.1_ASM1336v1
"Rhodobacter sphaeroides ATCC 17025","ATCC 17025",50726,SAMN02598341 ,PRJNA15755,"Proteobacteria","Alphaproteobacteria",GCA_000016405.1 ,4.55713,68.2478,chromosome:NC_009428.1/CP000661.1; plasmid pRSPA01:NC_009429.1/CP000662.1; plasmid pRSPA02:NC_009430.1/CP000663.1; plasmid pRSPA03:NC_009431.1/CP000664.1; plasmid pRSPA04:NC_009432.1/CP000665.1; plasmid pRSPA05:NC_009433.1/CP000666.1,-,6,4547,4280,2007/04/20,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/405/GCF_000016405.1_ASM1640v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/405/GCA_000016405.1_ASM1640v1
"Yersinia pseudotuberculosis IP 31758","IP 31758",19684,SAMN02604043 ,PRJNA16070,"Proteobacteria","Gammaproteobacteria",GCA_000016945.1 ,4.93513,47.1929,chromosome:NC_009708.1/CP000720.1; plasmid plasmid_153kb:NC_009705.1/CP000719.1; plasmid plasmid_59kb:NC_009704.1/CP000718.1,-,3,4534,4261,2007/07/23,2017/04/10,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/945/GCF_000016945.1_ASM1694v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/945/GCA_000016945.1_ASM1694v1
"Francisella tularensis subsp. tularensis SCHU S4","SCHU S4",19493,SAMEA3138185 ,PRJNA9,"Proteobacteria","Gammaproteobacteria",GCA_000008985.1 ,1.89278,32.3,chromosome:NC_006570.2/AJ749949.2,-,1,1834,1556,2004/12/14,2016/08/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/985/GCF_000008985.1_ASM898v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/985/GCA_000008985.1_ASM898v1
"Brucella abortus bv. 1 str. 9-941","9-941",19921,SAMN02604220 ,PRJNA9619,"Proteobacteria","Alphaproteobacteria",GCA_000008145.1 ,3.28645,57.2354,chromosome I:NC_006932.1/AE017223.1; chromosome II:NC_006933.1/AE017224.1,-,2,3376,3153,2005/04/05,2017/03/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/145/GCF_000008145.1_ASM814v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/145/GCA_000008145.1_ASM814v1
"Bartonella bacilliformis KC583","KC583; ATCC 35685",19923,SAMN02604047 ,PRJNA16249,"Proteobacteria","Alphaproteobacteria",GCA_000015445.1 ,1.44502,38.2,chromosome:NC_008783.1/CP000524.1,-,1,1290,1199,2007/01/04,2017/03/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/445/GCF_000015445.1_ASM1544v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/445/GCA_000015445.1_ASM1544v1
"Xanthomonas citri pv. vignicola","CFBP7111",19487,SAMN07252112 ,PRJNA390891,"Proteobacteria","Gammaproteobacteria",GCA_002218245.1 ,5.7105,64.4637,chromosome:NZ_CP022263.1/CP022263.1; plasmid plA:NZ_CP022264.1/CP022264.1; plasmid plB:NZ_CP022266.1/CP022266.1; plasmid plC:NZ_CP022265.1/CP022265.1,-,4,5208,4772,2017/07/13,2017/10/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/218/245/GCF_002218245.1_ASM221824v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/218/245/GCA_002218245.1_ASM221824v1
"Campylobacter fetus subsp. testudinum 03-427","03-427",19271,SAMN02604287 ,PRJNA177177,"Proteobacteria","delta/epsilon subdivisions",GCA_000495505.1 ,1.77548,33.1,chromosome:NC_022759.1/CP006833.1,-,1,1758,1691,2013/11/05,2017/04/02,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/495/505/GCF_000495505.1_ASM49550v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/495/505/GCA_000495505.1_ASM49550v1
"Xanthomonas oryzae pv. oryzae PXO99A","PXO99A",22137,SAMN02603061 ,PRJNA28127,"Proteobacteria","Gammaproteobacteria",GCA_000019585.2 ,5.23855,63.6,chromosome:NC_010717.2/CP000967.2,-,1,5058,4031,2008/05/16,2017/10/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/585/GCF_000019585.2_ASM1958v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/585/GCA_000019585.2_ASM1958v2
"Sodalis glossinidius str. 'morsitans'","morsitans",19657,SAMD00061079 ,PRJNA16309,"Proteobacteria","Gammaproteobacteria",GCA_000010085.1 ,4.2925,54.5066,chromosome:NC_007712.1/AP008232.1; plasmid pSG1:NC_007713.1/AP008233.1; plasmid pSG2:NC_007714.1/AP008234.1; plasmid pSG3:NC_007715.1/AP008235.1,-,4,4736,3259,2006/01/11,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/085/GCF_000010085.1_ASM1008v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/085/GCA_000010085.1_ASM1008v1
"Roseobacter denitrificans OCh 114","OCh 114",22661,SAMN02602987 ,PRJNA16426,"Proteobacteria","Alphaproteobacteria",GCA_000014045.1 ,4.33123,58.9096,chromosome:NC_008209.1/CP000362.1; plasmid pTB1:NC_008386.1/CP000464.1; plasmid pTB2:NC_008387.1/CP000465.1; plasmid pTB3:NC_008388.1/CP000466.1; plasmid pTB4:NC_008389.1/CP000467.1,-,5,4092,4004,2006/06/22,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/045/GCF_000014045.1_ASM1404v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/045/GCA_000014045.1_ASM1404v1
"Ralstonia eutropha JMP134","JMP134",19476,SAMN02598255 ,PRJNA10646,"Proteobacteria","Betaproteobacteria",GCA_000203875.1 ,7.25529,64.4539,chromosome 1:NC_007347.1/CP000090.1; chromosome 2:NC_007348.1/CP000091.1; plasmid Plasmid1:NC_007337.1/CP000093.1; plasmid megaplasmid:NC_007336.1/CP000092.1,-,4,6708,6492,2005/08/10,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/875/GCF_000203875.1_ASM20387v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/875/GCA_000203875.1_ASM20387v1
